1490363166,Kimi,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон,Хэмилтон
1490432578,azbr,Хэмилтон,Феттель,Боттас,Ферстаппен,Райкконен,Риккардо,Масса,Сайнс,Грожан,Перес
1490362208,koffy76,Феттель,Хэмилтон,Риккардо,Ферстаппен,Райкконен,Боттас,Перес,Масса,Сайнс,Грожан
1490362349,buffaloid,Хэмилтон,Феттель,Риккардо,Райкконен,Ферстаппен,Боттас,Перес,Масса,Алонсо,Магнуссен
1490362763,Prometeus,Хэмилтон,Боттас,Феттель,Риккардо,Ферстаппен,Райкконен,Масса,Сайнс,Перес,Алонсо
1490363697,AbrOhunter,Райкконен,Хэмилтон,Боттас,Феттель,Риккардо,Масса,Сайнс,Грожан,Квят,Хюлкенберг
1490363773,Galwayer,Феттель,Хэмилтон,Райкконен,Риккардо,Боттас,Ферстаппен,Масса,Перес,Алонсо,Хюлкенберг
1490366340,Kildin,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Ферстаппен,Хюлкенберг,Сайнс,Грожан,Квят
1490366660,aspire89,Хэмилтон,Боттаc,Риккардо,Ферстаппен,Феттель,Райкконен,Перес,Окон,Масса,Стролл
1490367117,sabhas,Райкконен,Феттель,Хэмилтон,Боттас,Риккардо,Ферстаппен,Перес,Окон,Хюлкенберг,Масса
1490368880,EverGreennn,Феттель,Хэмилтон,Райкконен,Риккардо,Боттас,Алонсо,Ферстаппен,Перес,Окон,Грожан
1490369645,arena,Хэмилтон,Феттель,Ферстаппен,Боттас,Риккардо,Перес,Сайнс,Масса,Грожан,Алонсо
1490370530,0rion,Хэмилтон,Феттель,Риккардо,Боттас,Ферстаппен,Райкконен,Хюлкенберг,Сайнс,Грожан,Перес
1490370628,kybik,Хэмилтон,Боттас,Феттель,Ферстаппен,Риккардо,Райкконен,Грожан,Хюлкенберг,Перес,Сайнс
1490373965,GeasMuire,Феттель,Хэмилтон,Райкконен,Боттас,Риккардо,Ферстаппен,Масса,Сайнс,Хюлкенберг,Грожан
1490377491,Dmitriy,Хэмилтон,Райкконен,Боттас,Риккардо,Ферстаппен,Феттель,Перес,Квят,Сайнс,Хюлкенберг
1490378040,glaznoy_muskul,Хэмилтон,Боттас,Феттель,Райкконен,Ферстаппен,Риккардо,Грожан,Сайнс,Хюлкенберг,Квят
1490384073,EvEnger,Хэмилтон,Боттас,Райкконен,Феттель,Риккардо,Ферстаппен,Масса,Хюлкенберг,Сайнс,Перес
1490384408,shlang,Феттель,Хэмилтон,Райкконен,Риккардо,Боттас,Ферстаппен,Сайнс,Масса,Квят,Грожан
1490384921,neozoen,Хэмилтон,Боттас,Феттель,Риккардо,Райкконен,Ферстаппен,Масса,Сайнс,Перес,Грожан
1490386575,Arkh24rus,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Ферстаппен,Хюлкенберг,Сайнс,Грожан,Перес
1490392047,Kushavera,Хэмилтон,Феттель,Боттас,Риккардо,Райкконен,Ферстаппен,Сайнс,Масса,Хюлкенберг,Перес
1490395519,prfl,Райкконен,Хэмилтон,Ферстаппен,Риккардо,Боттас,Перес,Грожан,Хюлкенберг,Сайнс,Окон
1490381951,yesmish2002,Хэмилтон,Феттель,Риккардо,Райкконен,Ферстаппен,Боттас,Масса,Перес,Сайнс,Грожан
