1501188110,fabula,Хэмилтон,Боттас,Ферстаппен,Феттель,Масса,Перес,Грожан,Стролл,Алонсо,Сайнс
1501209033,Arkh24rus,Хэмилтон,Феттель,Боттас,Райкконен,Ферстаппен,Риккардо,Перес,Окон,Масса,Хюлкенберг
1501212750,Kushavera,Хэмилтон,Феттель,Боттас,Риккардо,Райкконен,Ферстаппен,Сайнс,Масса,Хюлкенберг,Перес
1501218059,Leo_87,Феттель,Хэмилтон,Ферстаппен,Боттас,Риккардо,Райкконен,Перес,Окон,Грожан,Хюлкенберг
1501220403,oleg_tgn,Хэмилтон,Боттас,Феттель,Риккардо,Райкконен,Ферстаппен,Масса,Перес,Окон,Сайнс
1501252511,0rion,Риккардо,Хэмилтон,Феттель,Боттас,Ферстаппен,Хюлкенберг,Алонсо,Сайнс,Окон,Стролл
1501265854,yesmish2002,Риккардо,Феттель,Ферстаппен,Хэмилтон,Райкконен,Боттас,Перес,Окон,Алонсо,Хюлкенберг
1501322817,neozoen,Феттель,Райкконен,Боттас,Ферстаппен,Хэмилтон,Риккардо,Сайнс,Хюлкенберг,Алонсо,Квят
1501326988,Kildin,Феттель,Райкконен,Ферстаппен,Хэмилтон,Боттас,Риккардо,Алонсо,Сайнс,Окон,Хюлкенберг
1501327883,shlang,Феттель,Райкконен,Боттас,Ферстаппен,Хэмилтон,Риккардо,Хюлкенберг,Алонсо,Окон,Квят
1501328300,elicaster,Феттель,Райкконен,Боттас,Хэмилтон,Ферстаппен,Риккардо,Сайнс,Хюлкенберг,Алонсо,Вандорн
