1503662374,koffy76,Райкконен,Риккардо,Феттель,Хэмилтон,Боттас,Перес,Хюлкенберг,Окон,Грожан,Алонсо
1503664011,namefag,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Перес,Окон,Масса,Хюлкенберг,Квят
1503664353,Kushavera,Хэмилтон,Феттель,Боттас,Риккардо,Райкконен,Ферстаппен,Сайнс,Масса,Хюлкенберг,Перес
1503668971,Prometeus,Хэмилтон,Боттас,Феттель,Райкконен,Риккардо,Ферстаппен,Масса,Перес,Хюлкенберг,Сайнс
1503673236,0rion,Хэмилтон,Феттель,Боттас,Ферстаппен,Райкконен,Риккардо,Перес,Окон,Масса,Хюлкенберг
1503675868,neozoen,Хэмилтон,Феттель,Райкконен,Боттас,Ферстаппен,Риккардо,Окон,Перес,Хюлкенберг,Сайнс
1503679835,yesmish2002,Хэмилтон,Феттель,Райкконен,Боттас,Ферстаппен,Риккардо,Хюлкенберг,Окон,Сайнс,Перес
1503692848,Andruhas,Феттель,Хэмилтон,Боттас,Райкконен,Риккардо,Перес,Масса,Окон,Хюлкенберг,Стролл
1503741910,Kildin,Райкконен,Феттель,Хэмилтон,Ферстаппен,Боттас,Риккардо,Перес,Окон,Сайнс,Хюлкенберг
1503741956,aspire89,Феттель,Хэмилтон,Райкконен,Ферстаппен,Боттас,Риккардо,Перес,Стролл,Окон,Алонсо
1503742691,elicaster,Райкконен,Хэмилтон,Феттель,Боттас,Ферстаппен,Риккардо,Перес,Окон,Сайнс,Алонсо
1503747093,shlang,Райкконен,Хэмилтон,Феттель,Боттас,Риккардо,Ферстаппен,Перес,Хюлкенберг,Окон,Алонсо
