1508606865,aspire89,Хэмилтон,Феттель,Райкконен,Риккардо,Боттас,Ферстаппен,Масса,Окон,Алонсо,Хюлкенберг
1508616407,shlang,Феттель,Хэмилтон,Риккардо,Боттас,Райкконен,Ферстаппен,Хюлкенберг,Масса,Окон,Квят
1508494998,Kushavera,Хэмилтон,Феттель,Боттас,Риккардо,Райкконен,Ферстаппен,Сайнс,Масса,Хюлкенберг,Перес
1508500333,Arkh24rus,Хэмилтон,Феттель,Боттас,Риккардо,Райкконен,Масса,Хюлкенберг,Ферстаппен,Перес,Сайнс
1508501186,Prometeus,Хэмилтон,Феттель,Риккардо,Боттас,Райкконен,Хюлкенберг,Ферстаппен,Масса,Перес,Окон
1508583573,gabo,Хэмилтон,Феттель,Риккардо,Ферстаппен,Боттас,Райкконен,Окон,Грожан,Перес,Магнуссен
1508605455,neozoen,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Ферстаппен,Алонсо,Перес,Окон,Сайнс
1508605796,Kildin,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Масса,Ферстаппен,Хюлкенберг,Перес,Сайнс
1508607337,yesmish2002,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Хюлкенберг,Ферстаппен,Перес,Масса,Окон
1508608273,elicaster,Хэмилтон,Феттель,Боттас,Райкконен,Риккардо,Перес,Окон,Ферстаппен,Масса,Сайнс
1508612467,0rion,Хэмилтон,Феттель,Боттас,Риккардо,Райкконен,Ферстаппен,Перес,Масса,Окон,Сайнс
