1498231575,dogfight,Палмер,Эриксон,Верляйн,Магнуссен,Окон,Стролл,Масса,Грожан,Райкконен,Квят
1498229735,buffaloid,Феттель,Хэмилтон,Боттас,Риккардо,Ферстаппен,Райкконен,Перес,Окон,Масса,Стролл
1498242773,Dmitriy,Феттель,Райкконен,Ферстаппен,Боттас,Риккардо,Перес,Квят,Масса,Окон,Хюлкенберг
1498242846,Arkh24rus,Хэмилтон,Феттель,Райкконен,Боттас,Ферстаппен,Риккардо,Хюлкенберг,Перес,Масса,Окон
1498286140,0rion,Хэмилтон,Феттель,Ферстаппен,Боттас,Риккардо,Перес,Стролл,Масса,Окон,Хюлкенберг
1498286684,neozoen,Феттель,Ферстаппен,Боттас,Риккардо,Хэмилтон,Райкконен,Перес,Окон,Квят,Хюлкенберг
1498305508,elicaster,Хэмилтон,Боттас,Феттель,Райкконен,Риккардо,Ферстаппен,Масса,Перес,Окон,Квят
1498306048,yesmish2002,Хэмилтон,Боттас,Райкконен,Ферстаппен,Феттель,Риккардо,Окон,Перес,Квят,Хюлкенберг
1498307122,aspire89,Феттель,Хэмилтон,Риккардо,Боттас,Риккардо,Ферстаппен,Масса,Окон,Квят,Сайнс
1498308015,Kildin,Феттель,Боттас,Райкконен,Хэмилтон,Риккардо,Ферстаппен,Окон,Масса,Перес,Стролл
1498308875,shlang,Райкконен,Боттас,Ферстаппен,Риккардо,Феттель,Хэмилтон,Окон,Квят,Сайнс,Хюлкенберг
